employee_id,name,department,position,salary,citizenship,date_of_hire,employment_status,performance_rating,education_level,project_involvement,benefits
868028,August Kenneway,Customer Service,Social Media Specialist,"€74725,73",Irish,10/18/2023,Part-Time,4.1,Bachelor's,Bike Maintenance,Employee discounts
875952,Lorrie Malek,Operations,Marketing Manager,"€30138,35",Stamp 1,8/23/2023,Full-Time,3.3,Associate's,Bike Maintenance,Paid time off
860437,Prentiss Boyles,Marketing,Maintenance Supervisor,"€74827,40",Stamp 4,11/22/2023,Contract,2.7,Associate's,Marketing Campaigns,Gym membership
768965,Berri Capell,Customer Service,Customer Support Agent,"€56680,16",Stamp 1,4/13/2024,Part-Time,2.2,Master's,Marketing Campaigns,Flexible work hours
903571,Taffy Wheeliker,Operations,Marketing Manager,"€55232,08",Stamp 1,3/16/2024,Contract,4.0,High School,Social Media Campaigns,Paid time off
989291,Tilda Wisdish,Customer Service,Social Media Specialist,"€37993,03",Irish,10/13/2023,Contract,3.3,Master's,Social Media Campaigns,Gym membership
748856,Zachariah Busse,Customer Service,Customer Service Manager,"€74029,45",Irish,1/6/2024,Part-Time,2.6,Bachelor's,Implemented regular maintenance schedule,Paid time off
834670,Latrena Lorek,Customer Service,Customer Service Manager,"€66377,87",Stamp 1,7/4/2023,Part-Time,4.8,Associate's,Implemented regular maintenance schedule,Paid time off
866234,Verile Beverley,Marketing,Operations Manager,"€60694,12",Irish,4/30/2024,Part-Time,4.7,Bachelor's,Marketing Campaigns,Employee discounts
914459,Rafaela Gilbanks,Marketing,Bike Technician,"€67782,02",Irish,8/7/2023,Temporary,3.2,Bachelor's,Bike Maintenance,Paid time off
851432,Sosanna Sive,Marketing,Customer Support Agent,"€32304,09",Stamp 1,5/2/2024,Temporary,2.8,Master's,Bike Maintenance,Paid time off
823739,Dayna Picker,Customer Service,Customer Support Agent,"€35674,61",Irish,8/4/2023,Contract,3.4,Master's,Social Media Campaigns,Employee stock options
859460,Salome Ditchfield,Marketing,Bike Technician,"€57972,13",Stamp 4,1/29/2024,Full-Time,2.4,High School,Social media takeover,Employee stock options
771139,Florry MacAne,Marketing,Social Media Specialist,"€53443,09",Stamp 1,4/10/2024,Part-Time,3.6,High School,Customer Support,Employee discounts
979292,Alejandra Medlen,Marketing,Marketing Manager,"€28373,95",Stamp 1,7/28/2023,Temporary,2.2,Associate's,Social media takeover,Flexible work hours
727555,Anatol Sloy,Operations,Customer Service Manager,"€55348,04",Irish,3/11/2024,Full-Time,4.3,Bachelor's,Implemented regular maintenance schedule,Gym membership
706549,Jodie Colerick,Marketing,Customer Support Agent,"€42095,54",Irish,1/30/2024,Contract,3.5,Associate's,Marketing Campaigns,Paid time off
708726,Morrie Walthew,Customer Service,Maintenance Supervisor,"€37354,13",Stamp 4,7/4/2023,Part-Time,3.8,Master's,Implemented regular maintenance schedule,Gym membership
860492,Elmo Brumfield,Customer Service,Marketing Manager,"€57296,93",Stamp 4,12/10/2023,Part-Time,3.0,Bachelor's,Social media takeover,Employee discounts
871636,Yvonne Fowley,Operations,Maintenance Supervisor,"€58218,75",Stamp 4,1/25/2024,Contract,3.7,Bachelor's,Marketing Campaigns,Health insurance
887978,Nerty Weich,Customer Service,Social Media Specialist,"€60710,91",Stamp 1,3/26/2024,Temporary,2.5,Master's,Customer Support,Health insurance
806324,Shannan Hartnup,Customer Service,Operations Manager,"€36224,91",Stamp 4,12/4/2023,Full-Time,2.9,High School,Customer Support,Paid time off
856630,Zsa zsa Bend,Marketing,Maintenance Supervisor,"€34451,84",Stamp 4,10/18/2023,Full-Time,2.2,Bachelor's,Bike Maintenance,Paid time off
835674,Julie Spurdens,Marketing,Customer Service Manager,"€37471,80",Irish,1/14/2024,Full-Time,3.2,Associate's,Social media takeover,Flexible work hours
853722,Stephi Farrow,Marketing,Operations Manager,"€58256,55",Irish,1/2/2024,Temporary,3.6,Bachelor's,Social Media Campaigns,Flexible work hours
916041,Dulce Harbard,Customer Service,Bike Technician,"€57750,60",Stamp 4,9/30/2023,Part-Time,3.1,Bachelor's,Bike Maintenance,Gym membership
942997,Fionna Goodinge,Operations,Marketing Manager,"€66248,29",Stamp 4,11/7/2023,Part-Time,3.5,Associate's,Social Media Campaigns,Health insurance
890476,Weider Carrack,Operations,Customer Service Manager,"€60768,52",Stamp 1,3/4/2024,Temporary,4.2,High School,Bike Maintenance,Health insurance
759733,Linda Gumbrell,Marketing,Maintenance Supervisor,"€34549,03",Stamp 4,7/15/2023,Temporary,2.8,Bachelor's,Implemented regular maintenance schedule,Flexible work hours
950334,Benedetta Jagg,Marketing,Maintenance Supervisor,"€28333,11",Stamp 1,5/12/2023,Part-Time,2.9,High School,Marketing Campaigns,Paid time off
934480,Quintus Creboe,Customer Service,Operations Manager,"€59137,56",Stamp 4,11/26/2023,Part-Time,4.4,Associate's,Bike Maintenance,Gym membership
780893,Hannie Rafter,Marketing,Marketing Manager,"€35118,91",Stamp 4,10/20/2023,Full-Time,3.4,Bachelor's,Implemented regular maintenance schedule,Gym membership
983122,Rosalynd Saul,Operations,Maintenance Supervisor,"€55626,83",Irish,8/15/2023,Temporary,3.2,Bachelor's,Social media takeover,Employee stock options
866436,Tabbie Busse,Marketing,Maintenance Supervisor,"€49748,09",Stamp 1,9/22/2023,Temporary,2.9,Master's,Customer Support,Paid time off
972054,Sheelah Girhard,Customer Service,Operations Manager,"€37934,70",Stamp 1,8/31/2023,Full-Time,2.8,Bachelor's,Implemented regular maintenance schedule,Health insurance
728236,Bonita Birkhead,Customer Service,Bike Technician,"€60189,16",Stamp 4,12/28/2023,Part-Time,2.4,Associate's,Implemented regular maintenance schedule,Employee discounts
779083,Meagan Paudin,Operations,Customer Support Agent,"€28230,05",Irish,9/19/2023,Part-Time,2.5,Bachelor's,Customer Support,Flexible work hours
791384,Syd Shortt,Operations,Operations Manager,"€67907,51",Irish,1/18/2024,Full-Time,2.5,Master's,Implemented regular maintenance schedule,Health insurance
950349,Laina Haggath,Operations,Social Media Specialist,"€74062,76",Stamp 4,10/30/2023,Contract,2.8,High School,Implemented regular maintenance schedule,Employee discounts
914186,Adella Crean,Customer Service,Social Media Specialist,"€42398,56",Stamp 4,6/1/2023,Contract,4.2,High School,Marketing Campaigns,Employee discounts
748886,Byrle Corfield,Customer Service,Customer Support Agent,"€62480,76",Irish,5/19/2023,Temporary,4.2,Bachelor's,Implemented regular maintenance schedule,Gym membership
962883,Dwain Franken,Customer Service,Bike Technician,"€59836,72",Stamp 4,6/25/2023,Part-Time,2.9,Bachelor's,Implemented regular maintenance schedule,Paid time off
921614,Tomasine Tousy,Operations,Customer Service Manager,"€43494,77",Stamp 4,7/15/2023,Contract,2.3,High School,Customer Support,Paid time off
733326,Ardisj Growy,Customer Service,Maintenance Supervisor,"€26126,03",Stamp 4,8/18/2023,Full-Time,4.5,Associate's,Implemented regular maintenance schedule,Employee discounts
771629,Illa Geekin,Marketing,Marketing Manager,"€26927,87",Stamp 4,4/15/2024,Temporary,3.4,Bachelor's,Marketing Campaigns,Gym membership
974545,Olive Carus,Customer Service,Maintenance Supervisor,"€29865,78",Irish,9/27/2023,Part-Time,3.9,Master's,Implemented regular maintenance schedule,Employee stock options
756972,Clovis Smelley,Operations,Bike Technician,"€59439,11",Irish,10/4/2023,Contract,4.0,Associate's,Bike Maintenance,Employee stock options
705110,Maggee Jodlowski,Operations,Customer Service Manager,"€38994,83",Irish,8/29/2023,Full-Time,2.0,High School,Social Media Campaigns,Gym membership
891553,Beckie Reinisch,Customer Service,Customer Support Agent,"€57747,68",Stamp 1,3/7/2024,Contract,2.9,High School,Implemented regular maintenance schedule,Gym membership
821327,Orville Hindenberger,Operations,Customer Service Manager,"€60734,56",Stamp 1,10/19/2023,Part-Time,3.7,High School,Social Media Campaigns,Gym membership
954608,Tomasina Back,Customer Service,Social Media Specialist,"€69022,31",Irish,6/29/2023,Full-Time,2.7,Bachelor's,Customer Support,Health insurance
974346,Marget Lockhart,Customer Service,Customer Service Manager,"€57104,78",Irish,3/13/2024,Full-Time,3.7,Bachelor's,Implemented regular maintenance schedule,Employee stock options
828711,Mariquilla Betteridge,Operations,Social Media Specialist,"€59992,89",Stamp 4,10/23/2023,Part-Time,2.6,Master's,Social media takeover,Gym membership
843187,Bobbette Worster,Marketing,Customer Service Manager,"€29096,46",Irish,1/29/2024,Temporary,3.0,Master's,Bike Maintenance,Employee discounts
862188,Shelden Hoyes,Marketing,Operations Manager,"€56800,25",Stamp 1,4/2/2024,Temporary,2.0,Associate's,Social media takeover,Employee discounts
788060,Lucas Pinching,Customer Service,Operations Manager,"€71417,82",Irish,1/5/2024,Part-Time,2.6,Master's,Social Media Campaigns,Flexible work hours
838630,Giovanna Belsher,Customer Service,Social Media Specialist,"€29408,27",Stamp 4,7/26/2023,Part-Time,2.1,High School,Social Media Campaigns,Flexible work hours
757052,Hastie Panas,Marketing,Social Media Specialist,"€48801,78",Irish,7/3/2023,Temporary,4.4,Bachelor's,Marketing Campaigns,Employee discounts
943001,Gaby Colnet,Operations,Maintenance Supervisor,"€65540,17",Stamp 1,12/14/2023,Part-Time,2.5,High School,Social Media Campaigns,Employee discounts
832898,Renato Westmoreland,Marketing,Customer Service Manager,"€66651,87",Stamp 4,4/24/2024,Contract,3.0,Master's,Social media takeover,Employee stock options
796887,Nels Lockner,Operations,Maintenance Supervisor,"€32950,56",Stamp 4,3/23/2024,Temporary,4.0,Master's,Bike Maintenance,Flexible work hours
872592,Ricard Bofield,Marketing,Marketing Manager,"€36895,68",Stamp 1,2/16/2024,Contract,4.6,High School,Bike Maintenance,Employee stock options
867713,Lemmy Knevit,Customer Service,Bike Technician,"€44746,77",Irish,4/13/2024,Contract,3.1,Bachelor's,Bike Maintenance,Paid time off
925938,Vivian Baldini,Customer Service,Customer Service Manager,"€40521,62",Stamp 1,7/31/2023,Part-Time,2.7,Bachelor's,Social media takeover,Paid time off
747622,Rennie Duffer,Operations,Maintenance Supervisor,"€62564,16",Irish,2/6/2024,Contract,2.3,Bachelor's,Social media takeover,Flexible work hours
961790,Merna Patullo,Customer Service,Social Media Specialist,"€36757,52",Irish,1/29/2024,Full-Time,2.0,Bachelor's,Implemented regular maintenance schedule,Flexible work hours
704874,Walton Eadie,Customer Service,Customer Support Agent,"€38989,09",Irish,2/8/2024,Full-Time,4.6,High School,Customer Support,Employee discounts
956130,Portie Got,Customer Service,Social Media Specialist,"€25328,13",Stamp 4,11/30/2023,Full-Time,2.7,Master's,Bike Maintenance,Paid time off
911656,Peria Greyes,Operations,Customer Support Agent,"€66636,74",Irish,10/12/2023,Part-Time,4.6,High School,Bike Maintenance,Employee discounts
852633,Anatol Kernar,Marketing,Marketing Manager,"€72863,13",Stamp 1,3/9/2024,Part-Time,4.3,High School,Social media takeover,Employee discounts
756762,Lorelei Kordova,Customer Service,Customer Support Agent,"€54923,73",Irish,7/7/2023,Full-Time,3.0,High School,Marketing Campaigns,Employee discounts
884272,Fallon Galliard,Operations,Operations Manager,"€53962,46",Stamp 4,11/28/2023,Contract,4.2,Master's,Implemented regular maintenance schedule,Gym membership
776965,Oran Peat,Customer Service,Maintenance Supervisor,"€49365,41",Irish,4/15/2024,Part-Time,3.9,Master's,Social media takeover,Paid time off
783692,Tish Everard,Marketing,Social Media Specialist,"€34230,23",Stamp 1,5/25/2023,Full-Time,4.6,High School,Social media takeover,Flexible work hours
899187,Sadye Wordsworth,Marketing,Operations Manager,"€40568,27",Stamp 4,3/8/2024,Part-Time,4.4,Bachelor's,Social Media Campaigns,Employee discounts
919529,Lalo Shieber,Customer Service,Social Media Specialist,"€51459,01",Stamp 4,3/31/2024,Temporary,3.0,Associate's,Customer Support,Flexible work hours
754898,Nicole Oherlihy,Customer Service,Maintenance Supervisor,"€73028,66",Stamp 4,3/12/2024,Temporary,2.5,Bachelor's,Social media takeover,Employee discounts
832531,Thomasine Yitshak,Operations,Operations Manager,"€71486,45",Stamp 4,7/5/2023,Part-Time,3.6,Bachelor's,Social Media Campaigns,Flexible work hours
815494,Edyth Thirlwall,Operations,Customer Support Agent,"€32843,79",Irish,3/25/2024,Part-Time,2.4,High School,Customer Support,Employee discounts
742466,Ashley Sidwick,Customer Service,Maintenance Supervisor,"€44021,65",Stamp 4,4/25/2024,Full-Time,4.3,High School,Bike Maintenance,Gym membership
705709,Ashby Vampouille,Customer Service,Customer Service Manager,"€25159,47",Stamp 4,7/18/2023,Full-Time,2.5,High School,Social Media Campaigns,Gym membership
970716,Hanny Hamner,Marketing,Maintenance Supervisor,"€57394,69",Stamp 1,5/29/2023,Full-Time,4.7,Master's,Customer Support,Health insurance
766360,Rora Prandini,Marketing,Operations Manager,"€35535,64",Stamp 4,2/2/2024,Contract,4.1,Master's,Implemented regular maintenance schedule,Health insurance
912411,Shaun Jeremaes,Marketing,Maintenance Supervisor,"€46568,24",Stamp 4,8/6/2023,Contract,3.5,Master's,Customer Support,Health insurance
931863,Klarrisa Pheasey,Marketing,Social Media Specialist,"€57350,02",Irish,4/15/2024,Full-Time,2.6,Associate's,Social media takeover,Gym membership
934407,Georgine McGahy,Customer Service,Marketing Manager,"€50874,14",Irish,11/14/2023,Contract,3.6,High School,Marketing Campaigns,Flexible work hours
896355,Stu Beau,Customer Service,Bike Technician,"€54931,84",Stamp 1,12/16/2023,Temporary,2.6,Associate's,Implemented regular maintenance schedule,Employee stock options
946782,Marci Brik,Customer Service,Marketing Manager,"€42062,46",Stamp 1,1/11/2024,Part-Time,4.2,Associate's,Implemented regular maintenance schedule,Health insurance
782332,Dorris Broadwood,Marketing,Operations Manager,"€48350,03",Stamp 1,12/8/2023,Temporary,2.2,Bachelor's,Bike Maintenance,Health insurance
886891,Flem Burnsell,Marketing,Customer Support Agent,"€71606,18",Irish,12/21/2023,Part-Time,3.1,Master's,Implemented regular maintenance schedule,Employee discounts
977374,Kerrin Spears,Customer Service,Customer Service Manager,"€69492,42",Stamp 1,5/17/2023,Full-Time,3.1,Bachelor's,Marketing Campaigns,Gym membership
795089,Eolanda Pfiffer,Operations,Customer Service Manager,"€58402,76",Stamp 1,9/22/2023,Contract,3.7,Master's,Bike Maintenance,Employee discounts
805834,Josey Yeardsley,Operations,Customer Service Manager,"€25928,61",Stamp 4,2/6/2024,Full-Time,4.6,Bachelor's,Implemented regular maintenance schedule,Employee stock options
828694,Giorgio Baumler,Marketing,Bike Technician,"€41282,42",Irish,9/1/2023,Contract,2.3,High School,Customer Support,Employee stock options
964641,Elliott Vuitton,Operations,Social Media Specialist,"€45227,48",Stamp 1,3/12/2024,Full-Time,3.1,Bachelor's,Marketing Campaigns,Employee discounts
895705,Merell Ricciardo,Marketing,Maintenance Supervisor,"€69596,75",Stamp 4,6/28/2023,Full-Time,3.9,Bachelor's,Social Media Campaigns,Gym membership
708207,Domenic Huntall,Customer Service,Bike Technician,"€40408,25",Stamp 4,12/30/2023,Contract,3.8,High School,Social media takeover,Gym membership
766563,Adrian Blaxeland,Marketing,Customer Service Manager,"€26196,93",Stamp 4,10/26/2023,Temporary,3.6,Bachelor's,Implemented regular maintenance schedule,Employee discounts
857674,Marlena Bome,Operations,Customer Support Agent,"€35142,24",Irish,10/25/2023,Part-Time,4.0,High School,Social media takeover,Health insurance
824198,Claire Manchett,Marketing,Customer Support Agent,"€37353,59",Stamp 1,5/23/2023,Full-Time,3.8,Master's,Marketing Campaigns,Health insurance
828517,Fayette Flattman,Customer Service,Customer Support Agent,"€38773,11",Stamp 4,6/30/2023,Temporary,3.0,High School,Marketing Campaigns,Flexible work hours
725240,Tann Dmitriev,Customer Service,Bike Technician,"€71891,95",Stamp 4,7/10/2023,Full-Time,4.6,Associate's,Customer Support,Flexible work hours
744306,Stirling Portingale,Marketing,Operations Manager,"€34634,24",Stamp 4,6/14/2023,Full-Time,3.1,Bachelor's,Marketing Campaigns,Flexible work hours
746206,Alexina Stuther,Marketing,Customer Service Manager,"€64413,04",Stamp 4,6/13/2023,Part-Time,2.6,Bachelor's,Implemented regular maintenance schedule,Employee discounts
813827,Collen Crofts,Marketing,Marketing Manager,"€66740,66",Stamp 4,4/9/2024,Full-Time,2.9,Bachelor's,Customer Support,Flexible work hours
925512,Fanni Pennicard,Customer Service,Customer Service Manager,"€54021,42",Stamp 4,12/1/2023,Contract,4.0,Master's,Customer Support,Paid time off
986965,Conant Widdocks,Operations,Customer Service Manager,"€68487,86",Stamp 4,7/19/2023,Full-Time,3.3,Master's,Customer Support,Gym membership
813479,Joly McConnulty,Customer Service,Customer Service Manager,"€65162,74",Irish,4/3/2024,Temporary,2.6,Master's,Marketing Campaigns,Employee stock options
888687,Reidar Hurtado,Marketing,Maintenance Supervisor,"€66875,13",Irish,11/1/2023,Part-Time,3.3,Associate's,Social media takeover,Flexible work hours
818631,Aubrey Paradin,Customer Service,Maintenance Supervisor,"€26439,14",Stamp 4,9/11/2023,Part-Time,2.1,High School,Social Media Campaigns,Gym membership
923406,Dorice Fleming,Customer Service,Operations Manager,"€29763,23",Stamp 1,10/14/2023,Temporary,4.1,Bachelor's,Implemented regular maintenance schedule,Flexible work hours
762347,Gail Bastick,Customer Service,Bike Technician,"€58835,29",Irish,4/4/2024,Part-Time,2.2,Associate's,Marketing Campaigns,Health insurance
777500,Terrell McGrayle,Operations,Bike Technician,"€46588,15",Stamp 4,6/21/2023,Temporary,4.3,Master's,Social Media Campaigns,Flexible work hours
878473,Janaye Kerin,Operations,Marketing Manager,"€29571,86",Stamp 1,1/13/2024,Temporary,3.4,Bachelor's,Bike Maintenance,Employee stock options
704767,Marabel Siflet,Marketing,Operations Manager,"€59263,67",Stamp 4,12/7/2023,Temporary,4.5,Associate's,Customer Support,Paid time off
967661,Archibald Kelston,Marketing,Marketing Manager,"€46356,77",Stamp 4,1/4/2024,Full-Time,2.1,Bachelor's,Marketing Campaigns,Employee discounts
910026,Nikita Starte,Operations,Customer Support Agent,"€46087,65",Stamp 4,4/21/2024,Contract,4.3,Bachelor's,Bike Maintenance,Gym membership
728669,Quinton Mongin,Marketing,Maintenance Supervisor,"€60458,94",Stamp 4,10/31/2023,Full-Time,2.1,Master's,Implemented regular maintenance schedule,Flexible work hours
897099,Augie Newson,Marketing,Customer Support Agent,"€67556,31",Stamp 4,3/24/2024,Temporary,4.5,High School,Social Media Campaigns,Paid time off
958850,Cleve Van Vuuren,Marketing,Social Media Specialist,"€31739,75",Stamp 4,12/11/2023,Contract,4.7,Associate's,Customer Support,Gym membership
706017,Hildegarde Nipper,Marketing,Marketing Manager,"€42591,50",Irish,2/2/2024,Contract,2.5,Bachelor's,Social Media Campaigns,Paid time off
905420,Marieann Mc Caughan,Marketing,Maintenance Supervisor,"€47260,46",Stamp 1,5/5/2024,Part-Time,3.9,Master's,Marketing Campaigns,Flexible work hours
742919,Kari Teligin,Customer Service,Marketing Manager,"€31082,31",Irish,1/24/2024,Full-Time,2.9,Associate's,Social media takeover,Employee stock options
886541,Valenka Kay,Operations,Customer Support Agent,"€58156,45",Stamp 4,9/22/2023,Contract,3.8,Associate's,Bike Maintenance,Paid time off
861428,Aeriell Morse,Operations,Customer Support Agent,"€37254,93",Stamp 1,8/4/2023,Full-Time,2.9,Associate's,Marketing Campaigns,Employee stock options
796001,Venus Alvares,Customer Service,Bike Technician,"€49769,21",Stamp 4,8/22/2023,Part-Time,4.0,Bachelor's,Social media takeover,Flexible work hours
805402,Terri Sones,Operations,Customer Service Manager,"€28565,73",Irish,6/7/2023,Contract,2.7,High School,Bike Maintenance,Paid time off
784890,Ariel Hartman,Customer Service,Social Media Specialist,"€42976,69",Irish,7/22/2023,Full-Time,2.3,Associate's,Social Media Campaigns,Gym membership
719151,Ida Maberley,Operations,Operations Manager,"€56001,40",Irish,6/15/2023,Contract,2.0,Master's,Social media takeover,Employee discounts
869420,Ringo Le Fevre,Marketing,Operations Manager,"€50597,15",Stamp 1,3/10/2024,Part-Time,4.1,Associate's,Social media takeover,Paid time off
718889,Thorsten Wilcher,Marketing,Social Media Specialist,"€37611,05",Stamp 1,6/11/2023,Part-Time,3.1,High School,Social Media Campaigns,Employee discounts
726518,Neil Collishaw,Marketing,Operations Manager,"€48813,91",Stamp 4,10/14/2023,Part-Time,3.0,Associate's,Bike Maintenance,Employee discounts
735128,Harwilll Osmar,Customer Service,Customer Service Manager,"€47166,32",Stamp 1,11/18/2023,Full-Time,4.8,Associate's,Customer Support,Health insurance
969500,Natalina Daverin,Customer Service,Operations Manager,"€43330,96",Stamp 1,6/7/2023,Full-Time,2.2,Bachelor's,Social Media Campaigns,Paid time off
810606,Eamon Child,Marketing,Customer Support Agent,"€64244,35",Stamp 4,6/28/2023,Temporary,3.6,High School,Bike Maintenance,Employee discounts
753566,Dolf Notley,Marketing,Social Media Specialist,"€63073,95",Irish,5/27/2023,Contract,2.6,Master's,Social Media Campaigns,Health insurance
889617,Whitaker Emnoney,Operations,Operations Manager,"€43747,53",Stamp 4,6/13/2023,Part-Time,3.6,High School,Implemented regular maintenance schedule,Employee discounts
809135,Lyman Lambkin,Customer Service,Customer Service Manager,"€25394,31",Irish,4/10/2024,Temporary,3.3,Associate's,Customer Support,Paid time off
779067,Red Godman,Customer Service,Operations Manager,"€32197,50",Irish,9/3/2023,Temporary,2.5,High School,Customer Support,Health insurance
894628,Eirena Cramer,Marketing,Customer Service Manager,"€37491,56",Stamp 4,10/8/2023,Full-Time,2.0,High School,Social media takeover,Health insurance
797544,Kevina Thurlby,Operations,Maintenance Supervisor,"€34385,76",Irish,8/8/2023,Temporary,2.6,High School,Bike Maintenance,Health insurance
987734,Birgit Adamovitch,Operations,Bike Technician,"€46824,58",Stamp 1,12/22/2023,Part-Time,2.2,Master's,Marketing Campaigns,Employee stock options
883179,Herbert Challin,Marketing,Customer Service Manager,"€43951,39",Irish,8/3/2023,Contract,4.3,Bachelor's,Social media takeover,Flexible work hours
967967,Maiga Warman,Customer Service,Maintenance Supervisor,"€68865,83",Irish,5/24/2023,Part-Time,4.2,High School,Customer Support,Flexible work hours
798068,Carny Rudolfer,Marketing,Operations Manager,"€27928,46",Stamp 1,12/28/2023,Temporary,4.0,Associate's,Social Media Campaigns,Paid time off
908205,Rachele de Savery,Operations,Customer Support Agent,"€47715,88",Stamp 4,2/8/2024,Contract,2.2,Master's,Customer Support,Health insurance
860251,Clo Kitchaside,Customer Service,Operations Manager,"€39268,81",Irish,8/2/2023,Full-Time,3.8,Associate's,Bike Maintenance,Employee discounts
896190,Dredi Kimmince,Customer Service,Customer Support Agent,"€49531,01",Irish,9/18/2023,Contract,3.5,Master's,Marketing Campaigns,Gym membership
845068,Shermie Prendergast,Operations,Customer Support Agent,"€26189,50",Stamp 4,11/1/2023,Full-Time,3.4,Master's,Customer Support,Health insurance
949546,Marjory Heffernon,Marketing,Bike Technician,"€28376,66",Stamp 4,5/20/2023,Temporary,2.3,High School,Implemented regular maintenance schedule,Health insurance
953432,Evania Banfield,Marketing,Customer Support Agent,"€44136,53",Stamp 4,6/27/2023,Part-Time,4.5,Bachelor's,Bike Maintenance,Flexible work hours
701763,Archaimbaud Folshom,Marketing,Bike Technician,"€37214,09",Stamp 4,1/9/2024,Full-Time,3.8,High School,Customer Support,Gym membership
972472,Kennie Franke,Marketing,Marketing Manager,"€48449,49",Stamp 1,6/5/2023,Temporary,2.9,High School,Social Media Campaigns,Gym membership
926620,Jed Saltwell,Customer Service,Maintenance Supervisor,"€51985,49",Stamp 4,1/22/2024,Part-Time,3.8,High School,Customer Support,Health insurance
875167,Buiron Himpson,Operations,Social Media Specialist,"€47230,81",Stamp 4,5/2/2024,Part-Time,4.0,Master's,Implemented regular maintenance schedule,Paid time off
781083,Rina Panswick,Operations,Maintenance Supervisor,"€35845,04",Stamp 4,5/17/2023,Temporary,3.9,Master's,Social media takeover,Paid time off
794107,Eryn Ludlam,Operations,Social Media Specialist,"€46880,12",Stamp 1,3/2/2024,Temporary,4.0,Bachelor's,Implemented regular maintenance schedule,Gym membership
828617,Llywellyn Keets,Customer Service,Marketing Manager,"€38960,44",Stamp 4,10/22/2023,Part-Time,4.1,Master's,Social Media Campaigns,Employee discounts
719880,Phedra Dell'Abbate,Customer Service,Customer Service Manager,"€44164,98",Irish,1/8/2024,Part-Time,4.2,Bachelor's,Social Media Campaigns,Paid time off
893955,Zondra McCaghan,Customer Service,Customer Support Agent,"€40463,99",Stamp 1,7/16/2023,Part-Time,4.4,Bachelor's,Social Media Campaigns,Employee discounts
704861,Cheston Gemelli,Customer Service,Operations Manager,"€56960,71",Stamp 1,11/18/2023,Temporary,4.7,High School,Social media takeover,Paid time off
921809,Trey Hawksley,Customer Service,Customer Support Agent,"€51992,73",Irish,4/11/2024,Temporary,3.3,Bachelor's,Implemented regular maintenance schedule,Employee discounts
807668,Bobbee Braxton,Customer Service,Maintenance Supervisor,"€63744,58",Stamp 1,5/24/2023,Temporary,2.5,High School,Implemented regular maintenance schedule,Paid time off
